sym,side,open,close,p0,p_exit,vwap_entry,peak,bal0,size_pct,build_s,dur,open_fills,close_fills,adds,adds_worse,pre5,pre30,mae,mfe,pnl,fee,net,ret,day_pnl_before,prev_same_net,prev_same_gap,hour,date
LAB-USDT-SWAP,short,2026-07-07 21:21:38,2026-07-07 21:21:48,7.249,7.175,14.498000000000001,200.0724,4034.1324277599997,4.959490140265241,0.0,0.16666666666666666,3,2,2,0,,,-0.0,1.0346254655814513,10.295,-0.7190276,9.5759724,4.786253576205414,77.45503473999969,19.75120533,138.36666666666667,21,2026-07-07
LAB-USDT-SWAP,long,2026-07-07 21:30:47,2026-07-07 21:31:59,7.47,7.501,14.94,179.28,4057.01474735,4.419012775763358,0.0,1.2,1,17,0,0,,3.048696371913362,0.0,0.46854082998661895,3.912,-0.629436,3.282564,1.8309705488621149,87.03100713999969,9.5759724,8.983333333333333,21,2026-07-07
LAB-USDT-SWAP,short,2026-07-07 22:15:39,2026-07-07 22:15:48,8.031,7.961,16.060480000000002,80.3024,4060.29731135,1.9777467964113302,0.0,0.15,5,1,4,0,,,-0.0,0.8716224629560454,3.462,-0.334738,3.127262,3.8943568311781465,90.31357113999968,3.282564,43.666666666666664,22,2026-07-07
ETH-USDT-SWAP,short,2026-07-07 23:38:04,2026-07-08 01:01:01,1796.47,1801.41,17.9647,89.8235,4063.4245733499997,2.210536909903732,0.0,82.95,1,1,0,0,,,-0.27498371806933264,-0.0,-2.47,-0.89947,-3.36947,-3.7512120992835953,93.4408331399997,,,23,2026-07-07
ZEC-USDT-SWAP,short,2026-07-07 23:43:36,2026-07-08 00:07:35,484.27,499.42,0.4997177464966545,3958.33336344,3973.15195585,99.6270318232309,1362.0,23.983333333333334,58,72,57,53,,,-4.123732628492371,-0.0,31.941699589999995,-33.34941491000002,-1.407715320000026,-0.03556333412950968,90.07136313999968,,,23,2026-07-07
LAB-USDT-SWAP,long,2026-07-08 01:02:07,2026-07-08 01:03:33,5.485,5.467,10.854000000000001,162.81,4058.74832544,4.011335193648651,33.0,1.4333333333333333,7,10,6,5,,,-1.5861440291704776,0.0,6.1089999,-0.7348294999999999,5.3741704,3.3008847122412623,0.0,3.127262,166.31666666666666,1,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 07:29:17,2026-07-08 07:29:36,5.908,5.847,11.816,202.0536,4070.19804716,4.964220356328456,1.0,0.31666666666666665,6,7,5,0,,,-0.0,1.049424509140151,10.498999999999999,-0.7604272999999999,9.738572699999999,4.81979667771324,5.374170400000001,5.3741704,385.73333333333335,7,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 08:02:14,2026-07-08 08:02:42,6.121,6.098,12.306000000000001,492.24,4079.93661986,12.06489330260456,22.0,0.4666666666666667,3,21,2,2,,,-1.0455807874530265,0.44110439470674834,22.810000000000002,-1.7114349999999996,21.098565000000004,4.286235372988786,15.1127431,9.738572699999999,32.63333333333333,8,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 09:13:33,2026-07-08 09:14:14,6.465,6.427,12.93,193.95,4101.035184859999,4.729293733348475,2.0,0.6833333333333333,4,5,3,0,,,-0.0,0.5877803557618022,5.7,-0.7264019999999999,4.973598,2.564371229698376,36.211308100000004,21.098565000000004,70.85,9,2026-07-08
SKHYNIX-USDT-SWAP,long,2026-07-08 09:24:10,2026-07-08 09:25:23,1512.1,1520.46,302.42335364727614,327.524492,4106.00878286,7.976711919546019,0.0,1.2166666666666666,6,4,5,0,,,0.0,0.5535348191257228,9.041429979999998,-1.64214318,7.399286799999999,2.259155263417674,41.184906100000006,4.20677306,1158.7833333333333,9,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 09:52:27,2026-07-08 09:52:57,4.848,4.887,9.796413333333332,293.8924,4113.40806968,7.144742146209267,19.0,0.5,15,24,14,8,,,-1.9595709570957132,0.04125412541253759,3.8809998600000006,-1.3203715000000003,2.5606283600000004,0.8712809041676478,48.5841929,4.973598,38.21666666666667,9,2026-07-08
LAB-USDT-SWAP,long,2026-07-08 10:20:20,2026-07-08 10:20:31,4.319,4.354,8.640616666666666,103.6874,4115.96869818,2.519149381428691,0.0,0.18333333333333332,9,6,8,0,,-10.911716171617158,0.0,0.8566797869877352,4.06799996,-0.520471,3.5475289599999997,3.42136938528693,51.14482126,2.5606283600000004,27.383333333333333,10,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 10:38:17,2026-07-08 10:38:45,4.456,4.422,8.90973,178.1946,4119.51622718,4.325619567275804,0.0,0.4666666666666667,8,11,7,0,,3.172030562630246,-0.0,0.8078994614003743,6.707,-0.8876195000000001,5.819380499999999,3.2657445848527393,54.69235022,3.5475289599999997,17.766666666666666,10,2026-07-08
LAB-USDT-SWAP,long,2026-07-08 10:49:06,2026-07-08 10:49:11,4.626,4.643,9.252,207.2448,4125.33560768,5.023707637608423,0.0,0.08333333333333333,1,10,0,0,,7.10812688122251,0.0,0.4323389537397304,4.0600000000000005,-0.7273868,3.3326132000000004,1.6080563661910943,60.51173072,5.819380499999999,10.35,10,2026-07-08
LAB-USDT-SWAP,long,2026-07-08 10:53:26,2026-07-08 10:54:00,4.175,4.165,8.285765,331.4306,4128.66822088,8.02754259409485,18.0,0.5666666666666667,8,17,7,7,-9.749243406830965,-6.3061041292639235,-1.5568862275448958,0.0,9.61799983,-1.411462,8.20653783,2.476095396743692,63.84434392,3.3326132000000004,4.25,10,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 11:21:25,2026-07-08 11:23:19,3.818,3.872,7.781458,778.1458,4137.89901066,18.80533570286155,103.0,1.9,25,17,24,17,,-8.550898203592805,-2.8548978522786816,0.02619172341540299,20.753000000000004,-3.1986526,17.554347400000005,2.2559200859273423,72.05088175,8.20653783,27.416666666666668,11,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 11:48:43,2026-07-08 11:48:50,3.521,3.483,7.042,140.84,4155.45335806,3.3892812134883896,0.0,0.11666666666666667,1,10,0,0,,-7.778941854374022,-0.0,1.1360408974723124,7.76,-0.48905999999999994,7.2709399999999995,5.1625532519170685,89.60522915000001,17.554347400000005,25.4,11,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 11:55:15,2026-07-08 11:56:11,3.329,3.427,6.883313333333332,1238.9964,4162.72429806,29.764075429579208,46.0,0.9333333333333333,30,72,29,28,,-5.452996307867075,-5.677380594773185,-0.0,6.2039997399999995,-4.9900695,1.2139302399999998,0.09797689807653999,96.87616915000001,7.2709399999999995,6.416666666666667,11,2026-07-08
LAB-USDT-SWAP,long,2026-07-08 12:17:21,2026-07-08 12:17:50,3.655,3.677,7.31,146.2,4163.93822856,3.5110991560160536,0.0,0.48333333333333334,1,11,0,0,,3.8057370065322393,0.0,0.6566347469220357,4.500000000000001,-0.51395,3.986050000000001,2.7264363885088927,98.09009939,1.2139302399999998,21.166666666666668,12,2026-07-08
LAB-USDT-SWAP,long,2026-07-08 12:20:18,2026-07-08 12:20:23,3.591,3.603,7.182,179.55,4167.92427856,4.307899760166318,0.0,0.08333333333333333,1,12,0,0,-1.7510259917920545,7.870231300690889,0.0,0.3898635477582735,3.3649999999999998,-0.6301075,2.7348925,1.5231927039821775,102.07614939000001,3.986050000000001,2.466666666666667,12,2026-07-08
LAB-USDT-SWAP,long,2026-07-08 12:26:38,2026-07-08 12:26:41,3.395,3.427,6.790000000000001,169.75,4170.65917106,4.070100025863704,1.0,0.05,8,7,7,0,,-7.113543091655261,0.0,1.0309278350515427,8.599,-0.6829599999999998,7.916040000000001,4.663351988217968,104.81104189000001,2.7348925,6.25,12,2026-07-08
LAB-USDT-SWAP,long,2026-07-08 14:31:05,2026-07-08 14:31:47,3.32,3.331,6.640312,166.0078,4180.684095080001,3.9708286066236087,0.0,0.7,5,21,4,0,,,0.0,0.3614457831325302,2.727,-0.8314024999999998,1.8955975,1.1418725505669012,112.72708189000001,7.916040000000001,124.4,14,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 14:39:44,2026-07-08 14:41:00,2.822,2.828,5.68,284.0,4182.5796925800005,6.790067873753201,18.0,1.2666666666666666,4,2,3,1,,-14.999999999999991,-1.275690999291279,-0.0,6.074,-1.007895,5.066105,1.7838397887323947,114.62267939,1.8955975,7.95,14,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 18:05:07,2026-07-08 18:05:45,2.16,2.145,4.318608,107.9652,4188.26331094,2.5778035425324926,0.0,0.6333333333333333,7,5,6,0,,,-0.0,0.6944444444444531,3.5759999999999996,-0.538038,3.0379619999999994,2.813834457769725,119.68878439000001,5.066105,204.11666666666667,18,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 18:16:18,2026-07-08 18:18:02,2.043,2.065,4.153368333333334,498.4042,4191.30127294,11.891395238462374,48.0,1.7333333333333334,26,14,25,19,,-5.41666666666667,-2.7900146842878115,0.09789525208028227,15.03499993,-2.2955035,12.739496429999999,2.556057198153627,122.72674639000002,3.0379619999999994,10.55,18,2026-07-08
LAB-USDT-SWAP,long,2026-07-08 18:41:15,2026-07-08 18:41:45,2.169,2.193,4.319,259.14,4204.04076944,6.164069622819542,12.0,0.5,2,19,1,1,,6.167400881057272,-0.875979714153996,1.152604887044717,20.325000000000003,-0.9171524999999995,19.407847500000003,7.489329127112759,135.46624282,12.739496429999999,23.216666666666665,18,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 18:50:10,2026-07-08 18:50:42,2.231,2.229,4.481426666666666,268.8856,4223.448616940001,6.366493933926789,18.0,0.5333333333333333,13,12,12,8,,2.858460119870898,-0.9412819363514124,0.13446884805018433,7.11999996,-1.340868,5.779131960000001,2.149290240905426,154.87409032000002,19.407847500000003,8.416666666666666,18,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 19:22:49,2026-07-08 19:22:53,2.389,2.377,4.7780000000000005,143.34,4229.22774894,3.3892712454638145,0.0,0.06666666666666667,4,1,3,0,,,-0.0,0.5023022185014603,3.6,-0.5457588,3.0542412,2.130766848053579,160.65322228,5.779131960000001,32.11666666666667,19,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 19:35:13,2026-07-08 19:37:39,2.455,2.542,5.071655421686747,1683.7896,4232.28199014,39.784437897161524,116.0,2.433333333333333,74,57,73,64,,2.7626622017580704,-5.050916496945024,0.04073319755600879,-14.98500018,-7.676738399999999,-22.661738579999998,-1.3458770965208477,163.70746348,3.0542412,12.333333333333334,19,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 19:37:52,2026-07-08 19:38:36,2.564,2.537,5.126063333333334,307.5638,4209.62025174,7.306212475409675,0.0,0.7333333333333333,7,13,6,0,4.439918533604881,7.325240686479706,-0.0,1.0920436817472678,15.68399995,-1.2662443,14.41775565,4.687728416022951,141.0457249,-22.661738579999998,0.21666666666666667,19,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 19:48:21,2026-07-08 19:48:24,2.439,2.424,4.878,68.7798,4224.03800744,1.628295007735604,0.0,0.05,2,2,1,0,,2.0929259104227826,-0.0,0.6150061500615034,2.115,-0.3428415,1.7721585000000002,2.576568265682657,155.46348055,14.41775565,9.75,19,2026-07-08
LAB-USDT-SWAP,short,2026-07-08 19:53:54,2026-07-08 19:54:23,2.439,2.417,4.878000000000001,77.5602,4225.81016594,1.83539243255967,0.0,0.48333333333333334,3,4,2,0,,-0.6517311608961296,-0.0,0.9020090200902109,3.498,-0.2697117,3.2282883,4.16230012300123,157.23563905,1.7721585000000002,5.5,19,2026-07-08
LAB-USDT-SWAP,short,2026-07-09 08:17:07,2026-07-09 08:17:16,1.121,1.112,2.242,210.9722,4231.68520624,4.985536251347395,0.0,0.15,17,22,16,0,,,-0.0,0.8920606601248937,8.597999999999999,-1.050562,7.547437999999999,3.577456176690578,0.0,3.2282883,742.7333333333333,8,2026-07-09
LAB-USDT-SWAP,short,2026-07-09 08:30:26,2026-07-09 08:31:25,1.153,1.149,2.306,207.54,4239.232644240001,4.895697344706763,0.0,0.9833333333333333,6,49,5,0,,2.8545941123996554,-0.0,0.43365134431917474,3.7969999999999997,-0.8123501000000002,2.9846498999999995,1.4381082682856314,7.547438,7.547437999999999,13.166666666666666,8,2026-07-09
EDGE-USDT-SWAP,short,2026-07-09 08:42:31,2026-07-09 08:51:44,0.4187,0.4231,0.8462932203389834,1697.6642,4242.21729414,40.01832254903759,437.0,9.216666666666667,30,46,29,23,,,-1.6479579651301535,0.02388344877000126,5.381999790000002,-6.813344800000003,-1.4313450100000011,-0.0843126108213863,10.532087899999999,,,8,2026-07-09
SKHYNIX-USDT-SWAP,long,2026-07-09 08:56:25,2026-07-09 09:01:47,1478.68,1488.8,295.7729860139859,253.773222,4240.78594934,5.984108253317881,0.0,5.366666666666666,18,4,17,0,,,0.0,0.6843941894121741,8.524289979999999,-1.1005418,7.423748179999999,2.9253473323517163,9.100742889999998,7.399286799999999,1411.0333333333333,8,2026-07-09
EDGE-USDT-SWAP,short,2026-07-09 09:16:52,2026-07-09 09:18:59,0.4296,0.4308,0.8648545,345.9418,4248.20969755,8.143237378312783,51.0,2.1166666666666667,8,9,7,4,,1.1299435028248483,-1.3268156424581123,-0.0,6.882999999999999,-1.7262674999999994,5.1567324999999995,1.490635852620296,16.524491069999996,-1.4313450100000011,25.133333333333333,9,2026-07-09
LAB-USDT-SWAP,short,2026-07-09 09:22:49,2026-07-09 09:23:01,1.392,1.381,2.7820466666666666,250.3842,4253.3664300499995,5.886730055304843,0.0,0.2,16,21,15,0,,,-0.0,0.8620689655172376,9.742999929999993,-1.1665105999999998,8.576489329999992,3.4253316822706834,21.681223569999993,2.9846498999999995,51.4,9,2026-07-09
LAB-USDT-SWAP,short,2026-07-09 09:43:45,2026-07-09 09:44:32,1.523,1.52,3.0459999999999994,132.501,4261.942919450001,3.1089341763661893,0.0,0.7833333333333333,4,47,3,0,,9.410919540229878,-0.0,0.26263952724885353,1.5589999999999977,-0.46297400000000005,1.0960259999999977,0.8271831910702543,30.257712899999987,8.576489329999992,20.733333333333334,9,2026-07-09
SKHYNIX-USDT-SWAP,short,2026-07-09 11:49:38,2026-07-09 12:01:25,1447.76,1444.35,289.55199999999996,382.787744,4265.2392627399995,8.974590179358339,0.0,11.783333333333333,1,4,0,0,,,-0.0,0.24175277670331896,4.52531,-1.33749445,3.1878155500000003,0.8327893460455202,31.353738899999986,7.423748179999999,167.85,11,2026-07-09
EDGE-USDT-SWAP,short,2026-07-09 12:15:09,2026-07-09 12:15:20,0.4014,0.3992,0.8028,297.8388,4268.42707829,6.977717893199173,0.0,0.18333333333333332,10,7,9,0,,,-0.0,0.5729945191828567,8.43,-1.3585379999999996,7.071462,2.374258155754052,34.54155444999999,5.1567324999999995,176.16666666666666,12,2026-07-09
